NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
MAXARANGUAPE,AMARO SATURNINO,AMARO ALVES SATURNINO JUNIOR,MARINHO SATURNINO,,
MONTE ALEGRE,HERIBERTO CHAGAS,HERIBERTO CARVALHO CHAGAS,HERIBERTO,,
MONTE ALEGRE,JUVENAL VIEIRA,JUVENAL VIEIRA SILVA,JUVENAL,,
MONTE ALEGRE,FERREIRA LUIZ,JOSE FERREIRA LUIZ,FERREIRA,,
MONTE ALEGRE,JAILMA RAFAEL,JAILMA RAFAEL OLIVEIRA XAVIER,JAILMA,,
MONTE ALEGRE,IVANILDO,RIVANILDO BARRETO SILVA,RIVANILDO BARRETO,1,
MONTE ALEGRE,FAGNER FERREIRA,FAGNER FERREIRA SILVA,FAGNER IRMA MARIA,,
MOSSORÓ,ROSALBA,ROSALBA CIARLINI ROSADO,ROSALBA CIARLINI,,
MOSSORÓ,JOSUE MOREIRA,JOSUE OLIVEIRA MOREIRA,PROF JOSUE MOREIRA,,
MOSSORO,ROSALBA,ROSALBA CIARLINI ROSADO,ROSALBA CIARLINI,,
MOSSORO,TIAO COUTO,SEBASTIAO FILGUEIRA COUTO,TIAO,,
MOSSORO,OZANIEL,OZANIEL ALVES MESQUITA,OZANIEL MESQUITA,,
PASSA E FICA,LEO,LEONARDO MOREIRA LISBOA,LEO LISBOA,,
PASSA E FICA,EVERALDO,EVERALDO BEZERRA GUEDES,EVERALDO BEZERRA,,
SAO GONCALO DO AMARANTE,PAULO EMIDIO,PAULO EMIDIO MEDEIROS,PAULINHO,,
SAO GONCALO DO AMARANTE,GONCALVES,JOSINEIDE GONCALVES SILVA,JOSI GONCALVES,,
SAO JOSE DE MIPIBU,FELIPE,MADSON FELIPE SILVA EUGENIO,FELIPE EUGENIO,,
SAO JOSE DE MIPIBU,DALMO,JOSE DALMO PEREIRA,PROFESSOR DALMO,,
SAO JOSE DE MIPIBU,CARLA SIMONE,CARLA SIMONE GOMES LIMA,SIMONE,,
SÃO JOSÉ DO CAMPESTRE,LEO FABRICIO,LEONARDO FABRICIO OLIVEIRA,LEO,,
SAO JOSE DO SERIDO,MARIA DALVA,MARIA DALVA MEDEIROS ARAUJO,MARIA DALVA (MIUDA),,
SERRA DE SÃO BENTO,WANESSA MORAIS,WANESSA GOMES MORAIS,WANESSA,,
SERRA DE SÃO BENTO,EMANUEL,EMANUEL FAUSTINO SILVA,EMANUEL FAUSTINO,,
SERRA NEGRA DO NORTE,ERALDO,ERALDO ALVES ARAUJO,ERALDO ALVES,,
SERRA NEGRA DO NORTE,MARIA JOSE,MARIA JOSE SILVA,LIKE,,
TANGARA,JORGE EDUARDO BEZERRA,JORGE EDUARDO CARVALHO BEZERRA,JORGINHO,,
UPANEMA,ONILDO,ANTONIO ONILDO BEZERRA MOURA,ONILDO BEZERRA,,
BOA VISTA,ANTONIO PEREIRA,ANTONIO PEREIRA ALMEIDA FILHO,TONITO,,
JOÃO PESSOA,CHARLITON MACHADO,CHARLITON JOSE SANTOS MACHADO,PROFESSOR CHARLITON,,
JOAO PESSOA,CHARLITON MACHADO,CHARLITON JOSE SANTOS MACHADO,PROFESSOR CHARLITON,,
JUAZEIRINHO,BEVILACQUA MATIAS,BEVILACQUA MATIAS MARACAJA,BEVILACQUA,,
SANTA LUZIA,JACKSON SANTOS,JOSE JACKSON SANTOS,JACKSON,,
SANTA LUZIA,JOSE ALEXANDRE,JOSE ALEXANDRE ARAUJO,ZEZE,,
SAPE,JOAO CLEMENTE,JOAO CLEMENTE NETO,JOAO,,
DORMENTES,GEOMARCO COELHO,GEOMARCO COELHO SOUSA,GEOMARCO,,
BOM JARDIM,MIGUEL,JONATHAS MIGUEL ARRUDA BARBOSA,MIGUEL BARBOSA,,
BREJO DA MADRE DE DEUS,HILARIO PAULO,HILARIO PAULO SILVA,HILARIO,,
BREJO DA MADRE DE DEUS,AVECINO LIMA,AVECINO LIMA ARAUJO,AVECINO,,
BREJO DA MADRE DE DEUS,ISRAEL ANJOS,ISRAEL ANJOS SILVA,ISRAEL,,
CARUARU,LESSA,ERICK SILVA LESSA,DELEGADO LESSA,,
CARUARU,RAQUEL,RAQUEL TEIXEIRA LYRA,RAQUEL LYRA,,
CARUARU,ERICK LESSA,ERICK SILVA LESSA,DELEGADO LESSA,,
FLORESTA,OBADIAS,OBADIAS NOVAES BELO,OBADIAS NOVAES,,
GARANHUNS,CLAUDOMIRA ANDRADE,CLAUDOMIRA ANDRADE MORAIS FERREIRA,CLAUDOMIRA,,
GOIANA,EDVAL,EDVAL FELIX SOARES,EDVAL SOARES,,
GOIANA,MARCONE MENEZES,MARCONE CLAY MORAIS MENEZES,MENEZES,,
JABOATAO DOS GUARARAPES,MANOEL NECO,MANOEL PEREIRA COSTA NECO,NECO,,
LIMOEIRO,JOAO LUIS FILHO,JOAO LUIS FERREIRA FILHO,JOAOZINHO,,
MORENO,EDMILSON CUPERTINO,EDMILSON CUPERTINO ALMEIDA,EDMILSON,,
OLINDA,LUPERCIO,LUPERCIO CARLOS NASCIMENTO,PROFESSOR LUPERCIO,,
PAUDALHO,JOSE PEREIRA,JOSE PEREIRA ARAUJO,PEREIRA,,
PAULISTA,GILDERLEY ALVES,GILDERLEY ALVES GONDIM,GILDERLEY,,
RECIFE,GERALDO,GERALDO JULIO MELLO FILHO,GERALDO JULIO,,
SALGUEIRO,CLEBEL CORDEIRO,CLEBEL SOUZA CORDEIRO,CLEBEL,,
SALGUEIRO,MARCIO NEMEDIO,MARCIO NEMEDIO NOGUEIRA ALVES,NEMEDIO,,
SANTA CRUZ DO CAPIBARIBE,EDSON,EDSON SOUZA VIEIRA,EDSON VIEIRA,,
SÃO CAITANO,JADIEL BRAGA,JADIEL CORDEIRO BRAGA,JADIEL,,
SERRA TALHADA,DUQUE,LUCIANO DUQUE GODOY SOUSA,LUCIANO DUQUE,,
SERRA TALHADA,AGENOR MELO,AGENOR MELO LIMA,AGENOR MELO LIMA,,
SERRA TALHADA,PINHEIRO,FRANCISCO PINHEIRO BARROS,PINHEIRO SAO MIGUEL,,
SURUBIM,ANA CELIA FARIAS,ANA CELIA CABRAL FARIAS,ANA CELIA,,
TORITAMA,LUCIA PEREIRA,MARIA LUCIA PEREIRA SILVA,LUCINHA,,
CAMARAGIBE,DEMOSTENES MEIRA,DEMOSTENES E SILVA MEIRA,MEIRA,,
JUSSARI,JORGE CORDEIRO,JORGE ANUNCIACAO CORDEIRO,JORGE ANUNCIACAO CORDEIRO,,
CAPELA,ASTROGILDO,ASTROGILDO VIEIRA SANTOS,ASTROGILDO FARMACIA,,
FREI PAULO,ANDERSON,ANDERSON MENEZES,ANDERSON ZE CANAS,,
LAGARTO,VALMIR MONTEIRO,JOSE VALMIR MONTEIRO,JOSE VALMIR MONTEIRO,,
LAGARTO,MARCELIO,MARCELIO OLIVEIRA FERNANDES,MARCELIO PSOL,,
MOITA BONITA,MARCOS,MARCOS ANTONIO COSTA,MARCOS COSTA,,
MURIBECA,FERNANDO FRANCO,FERNANDO RIBEIRO FRANCO NETO,FERNANDINHO FRANCO,,
PORTO DA FOLHA,ANSELMO,ANSELMO ALVES RITO,ANSELMO RITO,,
TOBIAS BARRETO,DIOGENES,DIOGENES JOSE OLIVEIRA ALMEIDA,DIOGENES ALMEIDA,,
BOQUIRA,LUCIANO,LUCIANO OLIVEIRA E SILVA,LUCIANO FARMACIA,,
CAMACARI,ANTONIO ELINALDO,ANTONIO ELINALDO ARAUJO SILVA,ELINALDO,,
CAMACARI,LUIZ CAETANO,LUIZ CARLOS CAETANO,CAETANO,,
DOM BASÍLIO,ROBERVAL,ROBERVAL CASSIA MEIRA,ROBERVAL GALEGO,,
ITABUNA,MANGABEIRA,ANTONIO MANGABEIRA FRANCA,DR MANGABEIRA,,
ITABUNA,SANTANA,GILBERTO CUNHA SANTANA FILHO,CORONEL SANTANA,,
JEREMOABO,DERI,DERISVALDO JOSE SANTOS,DERI PALOMA,,
MACAÚBAS,NETO NOGUEIRA,JOSE OLIVEIRA NOGUEIRA NETO,NETO,,
PONTO NOVO,IRANILTON,IRANILTON SANTOS,IRANILTON MADEIREIRA,,
RIO DO PIRES,VANIO,GILVANIO ANTONIO SANTOS,VANIO GILDASIO,,
SANTALUZ,JOELCIO MARTINS,JOELCIO MARTINS SILVA,JOELCIO,,
TANHAÇU,NEY PIRES SANTANA,SIDINEY PIRES SANTANA,NEY SANTANA,,
VITORIA DA CONQUISTA,JEAN FABRICIO,JEAN FABRICIO FALCAO,FABRICIO,,
MAETINGA,EDCARLOS OLIVEIRA,EDCARLOS LIMA OLIVEIRA,EDCARLOS,,
ALFENAS,ENEIAS REZENDE,ENEIAS FERREIRA REZENDE,ENEIAS,,
PONTO DOS VOLANTES,TADEU REGO,CARLOS TADEU CHAVES REGO,TADEU,,
CAMACHO,BRUNO LAMOUNIER,BRUNO LAMOUNIER FURTADO,BRUNO,,
CAMACHO,JOSE ARI,JOSE ARI FERREIRA,ARI,,
CORONEL FABRICIANO,MARCOS VINICIUS,MARCOS VINICIUS SILVA BIZARRO,DR MARCOS VINICIUS,,
CORONEL FABRICIANO,ADIR MAGNO,ADIR MAGNO SOUZA,ADIR PARA AGIR,,
FRUTAL,GILSEN,GILSEN QUEIROZ,GILSEN QUEIROZ,,
GOVERNADOR VALADARES,ANDRE MERLO,ANDRE LUIZ COELHO MERLO,ANDRE,,
ITUIUTABA,FUED,FUED JOSE DIB,FUED DIB,,
ITUIUTABA,ANDRE,ANDRE LUIS GASPAR JANONES,ANDRE JANONES,,
ITUIUTABA,PUBLIO,PUBLIO CHAVES JUNIOR,PUBLIO CHAVES JUNIOR,,
ITUIUTABA,LUIZ,LUIZ MANOEL CARVALHO PARREIRA,LUIZ MANOEL,,
JUIZ DE FORA,LAFAYETTE ANDRADA,LAFAYETTE LUIZ DOORGAL ANDRADA,LAFAYETTE,,
PORTEIRINHA,SILVANEI BATISTA,SILVANEI BATISTA SANTOS,SILVANEI,,
RIBEIRÃO DAS NEVES,ANTONIO CARLOS,ANTONIO CARLOS SANTOS,ANTONIO CARLOS CANTOR,,
SAO JOAO DEL REI,JANIA,JANIA COSTA PEREIRA SILVEIRA,JANIA COSTA,,
SAO JOAO DEL REI,JORDANO,JORDANO CARVALHO SANTOS,JORDANO METALURGICO,,
NOVA ALVORADA DO SUL,NETO,JUVENAL ASSUNCAO NETO,JUVENAL NETO,,
NOVO HORIZONTE DO SUL,ADILCO,ADILCO JOSE SCAPIN,ADILCO SCAPIN,,
FIGUEIRAO,ROGERIO,ROGERIO RODRIGUES ROSALIN,ROGERIO ROSALIN,,
FIGUEIRAO,JUVENAL,JUVENAL CONSOLARO,PROF JUVENAL CONSOLARO,,
BOM JESUS DO NORTE,SALATIEL,SALATIEL ELIAS OLIVEIRA,SALATIEL OLIVEIRA PROFESSORESSOR,,
CACHOEIRO DE ITAPEMIRIM,ROMARIO,ROMARIO CORREA MIRANDA,ROMARIO PV,,
ITAPEMIRIM,LUCIANO PAIVA,LUCIANO PAIVA ALVES,DR LUCIANO,,
ITAPEMIRIM,LINDEMBERG LOPES,LINDEMBERG LOPES AREIAS NETO,DR LINDEMBERG,,
LINHARES,GUERINO,GUERINO LUIZ ZANON,GUERINO ZANON,,
LINHARES,ELIANA DADALTO,MARIA ELIANA DADALTO MELO,ELIANA,,
LINHARES,JOSE CARDIA,JOSE ZINTENFELD CARDIA,DR CARDIA,,
MIMOSO DO SUL,FLAVIA CYSNE,FLAVIA ROBERTA CYSNE NOVAES LEITE,FLAVIA,,
PRESIDENTE KENNEDY,AMANDA QUINTA,AMANDA QUINTA RANGEL,AMANDA QUINTA RANGEL,,
SERRA,VIDIGAL,ANTONIO SERGIO ALVES VIDIGAL,SERGIO VIDIGAL,,
SERRA,GIVALDO VIEIRA,GIVALDO VIEIRA SILVA,GIVALDO,,
VILA VELHA,RAFAEL FAVATTO,RAFAEL FAVATTO GARCIA,DR RAFAEL FAVATTO,,
VILA VELHA,LIU KATRINI,LIUDIMILA KATRINI PROXIMOZER,PROFESSORA LIU KATRINI,,
VITORIA,LUCIANO REZENDE,LUCIANO SANTOS REZENDE,LUCIANO,,
SANTA MARIA DE JETIBA,HANS DETTMANN,HANS DETTMANN JUNIOR,HANS DETTMANN JUNIOR,,
CARDOSO MOREIRA,GILSON SIQUEIRA,GILSON NUNES SIQUEIRA,GILSON NUNES SIQUEIRA,,
QUEIMADOS,CESAR MOTA,CESAR AUGUSTO COSTA MOTA,PROF CESAR MOTA,,
JAPERI,EMERSON MOISES,EMERSON MOISES COSTA,MERCINHO,,
CASIMIRO DE ABREU,WAGNER HERINGER,WAGNER CARDOSO HERINGER,WAGNER,,
MACAE,FRANCISCO MACHADO NETO,FRANCISCO ALVES MACHADO NETO,CHICO MACHADO,,
MARICA,BIA,FABIANO TAQUES HORTA,FABIANO HORTA,1,
NITERÓI,DANIELLE BORNIA,DANIELLE BORNIA CASTRO,DANI BORNIA,,
NITEROI,DANIELLE BORNIA,DANIELLE BORNIA CASTRO,DANI BORNIA,,
NOVA FRIBURGO,GLAUBER BRAGA,GLAUBER MEDEIROS BRAGA,GLAUBER,,
NOVA IGUACU,NELSON BORNIER,NELSON ROBERTO BORNIER OLIVEIRA,BORNIER,,
NOVA IGUACU,CARLOS AUGUSTO NOGUEIRA,CARLOS AUGUSTO NOGUEIRA PINTO,DELEGADO CARLOS AUGUSTO,,
SÃO GONÇALO,DILSON DOUTORUMOND,DILSON MALHEIROS DOUTORUMOND,DR DILSON DOUTORUMOND,,
SAO GONCALO,DILSON DOUTORUMOND,DILSON MALHEIROS DOUTORUMOND,DR DILSON DOUTORUMOND,,
RIO DE JANEIRO,MARCELO CRIVELLA,MARCELO BEZERRA CRIVELLA,CRIVELLA,,
RIO DE JANEIRO,CARLOS OSORIO,CARLOS ROBERTO FIGUEIREDO OSORIO,OSORIO,,
RIO DE JANEIRO,CARLOS ROBERTO OSORIO,CARLOS ROBERTO FIGUEIREDO OSORIO,OSORIO,,
RIO DE JANEIRO,MOLON,ALESSANDRO LUCCIOLA MOLON,ALESSANDRO MOLON,,
RIO DE JANEIRO,PEDRO PAULO CARVALHO,PEDRO PAULO CARVALHO TEIXEIRA,PEDRO PAULO,,
ROSANA,CLAUDEMIR,CLAUDEMIR PERES FRANCISCO OLIVEIRA,CLAUDEMIR PERES,,
ARAÇARIGUAMA,LEANDRO,LEANDRO AMARO ANDRADE,LEANDRO AMARO,,
AMERICANA,ERICH HETZL,ERICH HETZL JUNIOR,ERICH HETZL JUNIOR,,
ARARAQUARA,EDINHO,EDSON ANTONIO EDINHO SILVA,EDINHO SILVA,,
ARARAQUARA,EDNA,EDNA SANDRA MARTINS,EDNA MARTINS,,
ARARAQUARA,CELIO,CELIO PELICIARI PAULA JUNIOR,CELIO PELICIARI,,
ARARAQUARA,FARIAS,JOAO SIQUEIRA FARIAS,JOAO FARIAS,,
ARUJA,LUIS CAMARGO,LUIS ANTONIO CAMARGO,DR LUIS CAMARGO,,
ARUJA,GENESIO SEVERINO,GENESIO SEVERINO SILVA,GENESIO,,
ARUJA,WILSON,WILSON FERREIRA SILVA,DR WILSON,,
ARUJA,WILSON FERREIRA,WILSON FERREIRA SILVA,DR WILSON,,
BADY BASSITT,MEIRI,JANIMEIRI CATELANI BUZZI,MEIRI CATELANI,,
BIRITIBA MIRIM,JARBAS,JARBAS EZEQUIEL AGUIAR,PROF JARBAS,,
BIRITIBA MIRIM,ADRIANA FREITAS,ADRIANA RUFO FREITAS,PROFESSORA ADRIANA RUFO,,
BIRITIBA MIRIM,FERNANDO BOLANHO,FERNANDO HENRIQUE BOLANHO,BOLANHO,,
BIRITIBA MIRIM,VALDIVINO,VALDIVINO FERREIRA SANTOS,VALDIVINO LUCILEIA,,
CUBATÃO,KATIA,KATIA MARIA SILVA,KATIA TUDO BOM COIFFEUR,,
CUBATÃO,DR ANDERSON,ANDERSON LANA ANDRADE,DR ANDERSON VETERINARIO,,
CUBATÃO,JOZIEL LIMA,JOZIEL LIMA ESPIRITO SANTO,JOZIEL LIMA CHINHA,,
GUARULHOS,NEFI TALES,NEFI ANTONIO CASTRO TALES,NEFI ANTONIO CASTRO TALES,,
GUARULHOS,ADRIANO,ADRIANO ELI CORREA,ELI CORREA FILHO,,
GUARULHOS,ELI CORREA,ADRIANO ELI CORREA,ELI CORREA FILHO,,
ILHABELA,LIDIA SARMENTO,LIDIA LUCIA SARMENTO LIMA,LIDIA,,
ILHABELA,JULIANA STORTI,JULIANA PAULA LOURO STORTI,JULIANA,,
ILHABELA,MARIA INEZ FAZZINI,MARIA INEZ MOURA FAZZINI BIONDI,PROFA MARIA INEZ FAZZINI,,
INDAIATUBA,GERVASIO,GERVASIO APARECIDO SILVA,GERVASIO SILVA,,
ITUPEVA,BATISTA,JOAO BATISTA PINHEIRO SANTOS FILHO,JOAO BATISTA,,
JAGUARIÚNA,TARCISIO,TARCISIO CLETO CHIAVEGATO,TARCISIO CHIAVEGATO,,
JANDIRA,MI,REGINALDO CAMILO SANTOS,ZEZINHO,,
LOUVEIRA,MARIA REGORAO,MARIA APARECIDA REGORAO CUNHA,DRª MARIA REGORAO,,
MAIRINQUE,SERGIO RIBEIRO,SERGIO RAIMUNDO RIBEIRO,DR SERGIO RIBEIRO,,
MONTE APRAZIVEL,NELSON MONTORO,NELSON LUIZ ARANJUES MONTORO,MONTORO,,
MONTE APRAZIVEL,MAURO PASCOALAO,MAURO VANER PASCOALAO,MAURINHO,,
NOVA ALIANÇA,GUSTO,AUGUSTO DONIZETTI FAJAN,GUSTO FAJAN,,
ONDA VERDE,FABRICIO,FABRICIO PIRES CARVALHO,DR FABRICIO,,
OSASCO,JORGE LAPAS,ANTONIO JORGE PEREIRA LAPAS,LAPAS,,
PAULINIA,DIXON,DIXON RONAN CARVALHO,DIXON CARVALHO,,
PAULINIA,YAMADA,ROBERTO ITIRO YAMADA,ROBERTO YAMADA,,
PAULINIA,MOURA,ADRIANO NASCIMENTO MOURA,ADRIANO MOURA,,
PIRACICABA,WILSON TRINDADE,WILSON JOAO TRINDADE,TRINDADE,,
PIRACICABA,EDVALDO BRITO,JOSE EDVALDO BRITO,BRITO,,
PIRAPORA DO BOM JESUS,GREGORIO MAGLIO,GREGORIO RODRIGUES PONTES MAGLIO,GREGORIO,,
PORTO FERREIRA,MAURICIO,MAURICIO SPONTON RASI,DR MAURICIO,,
PORTO FERREIRA,BERQUE,CARLOS CESAR BERQUE,PROFESSOR BERQUE,,
RIBEIRÃO PIRES,SAULO,SAULO MARIZ BENEVIDES,SAULO BENEVIDES,,
RIBEIRÃO PIRES,LEO MOURA,LEONICE MOURA,LEO,,
RIBEIRÃO PIRES,CARLOS SACOMANI,CARLOS ALBERTO SACOMANI,CARLOS SACOMANI (BANANA),,
RIBEIRÃO PIRES,LUIZ CARLOS,LUIZ CARLOS GRECCO,GRECCO,,
RIBEIRÃO PIRES,LUIZ GRECCO,LUIZ CARLOS GRECCO,GRECCO,,
RIO GRANDE DA SERRA,CLESON,CLESON ALVES SOUSA,CLESON ALVES,,
SALESOPOLIS,SANDRA ASSIS,SANDRA REGINA ASSIS,SANDRA ASSIS ADVOGADA,,
SALESOPOLIS,BENEDITO RAFAEL,BENEDITO RAFAEL SILVA,RAFAEL,,
SALESOPOLIS,VANDERLON OLIVEIRA,VANDERLON OLIVEIRA GOMES,VANDERLON,,
SANTO ANDRE,AIDAN RAVIN,AIDAN ANTONIO RAVIN,DR AIDAN,,
SAO PAULO,DORIA,JOAO AGRIPINO COSTA DORIA JUNIOR,JOAO DORIA,,
SAO PAULO,MARTA SUPLICY,MARTA TERESA SUPLICY,MARTA,,
SAO PAULO,YOUNG,RICARDO YOUNG SILVA,RICARDO YOUNG,,
SAO ROQUE,NADER LAMAS,NADER BUJAN LAMAS,DR NADER,,
SÃO SEBASTIÃO,JUAN GARCIA,JUAN MANOEL PONS GARCIA,DR JUAN,,
URÂNIA,JACINTO NUNES,JACINTO NUNES DOURADO,JACINTO,,
VALINHOS,CLAYTON MACHADO,CLAYTON ROBERTO MACHADO,CLAYTON,,
VALINHOS,ALEXANDRE TONETTI,ALEXANDRE LUIZ TONETTI,TONETTI,,
VARGEM GRANDE PAULISTA,JOSE CARLOS SOUSA,JOSE CARLOS RICARDO SOUSA,PROFESSOR CARLOS,,
LAJEADO,TERCIO,TERCIO DIAS MELQUIADES NETO,DR TERCIO,,
PALMAS,RAUL,RAUL JESUS LUSTOSA FILHO,RAUL FILHO,,
PALMAS,CLAUDIA,CLAUDIA TELLES MENEZES PIRES MARTINS LELIS,CLAUDIA LELIS,,
PALMAS,ARAGAO,MANOEL ARAGAO SILVA,SARGENTO ARAGAO,,
ARAPOTI,IRANI BARROS,IRANI JOSE BARROS,IRANI,,
SAO MANOEL DO PARANA,JAILTON FERREIRA,JAILTON FERREIRA BOMFIM,JAILTON,,
CASCAVEL,PACHECO,MARCIO JOSE PACHECO RAMOS,MARCIO PACHECO,,
CASCAVEL,WALTER,WALTER PARCIANELLO,WALTER PARCIANELLO,,
CASCAVEL,LAURINDO,HELIO JOAO LAURINDO,HELIO LAURINDO,,
CASCAVEL,IVANILDO,IVANILDO CLARO SILVA,PROFESSOR IVANILDO,,
CARAMBEÍ,ELISANGELA,ELISANGELA PEDROSO OLIVEIRA,ELISANGELA PEDROSO,,
CARAMBEÍ,OSMAR BLUM,OSMAR JOSE BLUM CHINATO,BLUM,,
PONTAL DO PARANA,DANIEL LEMOS,DANIEL GILBERTO LEMOS PEREIRA,DR DANIEL LEMOS,,
FOZ DO IGUACU,PAULO MAC DONALD,PAULO MAC DONALD GHISI,PAULO MAC DONALD GHISI,,
FOZ DO IGUACU,SERGIO BARROS,SERGIO BARROS SILVA,DOUTOR BARROS,,
JUSSARA,ODAIR JUNIOR RECK,ODAIR RECK JUNIOR,JUNIOR RECK,,
PARANAGUA,ANTONIO RICARDO,ANTONIO RICARDO SANTOS,RICARDO,,
PARANAGUA,JOZELITO SERAFINI,JOZELITO SERAFINI ROCHA,PROFESSOR JOZELITO,,
PONTA GROSSA,MARCELO RANGEL,MARCELO RANGEL CRUZ OLIVEIRA,MARCELO RANGEL CRUZ OLIVEIRA,,
PONTA GROSSA,SERGIO GADINI,SERGIO LUIZ GADINI,PROFESSOR GADINI,,
PONTA GROSSA,LEANDRO SOARES,LEANDRO SOARES MACHADO,LEANDRO SOARES MACHADO,,
TIBAGI,ANGELA MERCER,ANGELA REGINA MERCER MELLO NASSER,ANGELA,,
CRICIÚMA,FABIO BREZOLA,FABIO ANDRE BREZOLA,BREZOLA,,
CRICIUMA,FABIO BREZOLA,FABIO ANDRE BREZOLA,BREZOLA,,
FRAIBURGO,CLAUDETE,CLAUDETE GHELLER MATHIAS,CLAUDETE GHELLER MATHIAS,,
FRAIBURGO,JULIANO,JULIANO CESAR COSTA,JULIANO AUTOESCOLA,,
ITAPEMA,WILLIAN MEISTER,WILLIAN DIOGENES MEISTER,PROF WILLIAN MEISTER,,
PORTO BELO,EVALDO,EVALDO JOSE GUERREIRO FILHO,EVALDO GUERREIRO,,
BAGE,LARA,DIVALDO VIEIRA LARA,DIVALDO LARA,,
BAGE,BRITO,SAPIRAN COUTINHO BRITO,SAPIRAN BRITO,,
FARROUPILHA,PASQUAL,BOLIVAR ANTONIO PASQUAL,BOLIVAR PASQUAL,,
PANAMBI,JOSE LUIZ ALMEIDA,JOSE LUIZ MELLO ALMEIDA,JOSE LUIZ,,
PORTO ALEGRE,CHIODO,MARCELO FRANCISCO CHIODO,MARCELLO CHIODO,,
PORTO ALEGRE,FLORES,JULIO CEZAR LEIRIAS FLORES,JULIO FLORES,,
PORTO ALEGRE,OSTERMANN,FABIO MAIA OSTERMANN,FABIO OSTERMANN,,
SANTA CRUZ DO SUL,SERGIO MORAES,SERGIO IVAN MORAES,SERGIO IVAN MORAES,,
SANTO ANTONIO DO LESTE,LUCILA,LUCILA TAFAREL,LUCILA TAFAREL,,
SANTO ANTONIO DO LESTE,AUREA,AUREA HORA RAMOS,AUREA HORA,,
SANTO ANTONIO DO LESTE,ANA LUCIA,ANA LUCIA PEREIRA ABREU,NEIA,,
SANTO ANTONIO DO LESTE,WILSON,WILSON BATISTA BORGES COSTA,WILSON ONIBUS,,
SANTO ANTONIO DO LESTE,JOSELITA,JOSELITA RAMOS ALVES,JOSELITA RAMOS,,
SINOP,CLARA,GONCALINA CLARA SILVA,PROFESSORA CLARA,,
ALTA FLORESTA,ASIEL BEZERRA,ASIEL BEZERRA ARAUJO,DR ASIEL,,
ALTO PARAGUAI,DIANE ALVES,DIANE VIEIRA VASCONCELLOS ALVES,DIANE,,
SANTA CARMEM,OLIDIO BORTOLAS,OLIDIO PEDRO BORTOLAS,OLIDIO,,
BONITO,ODILSON,ODILSON ARRUDA SOARES,ODILSON ARRUDA SOARES,,
CAMPO VERDE,JOSE HUMBERTO,JOSE HUMBERTO SANTOS,JOSE HUMBERTO (ZE BARBEIRO),,
CAMPO VERDE,YARA,YARA ALECRIM ANDRADE PRATI,YARA PRATI,,
CAMPO VERDE,CLENIO,CLENIO JOSE REIS,CLENIO (JAQUINHO),,
CAMPO VERDE,SOCORRO,SOCORRO SANTOS SOUZA,PROFESSORA SOCORRO,,
CAMPO GRANDE,SUEL FERRANTI,SUEL FERRANTI SILVA,SUEL PSTU,,
CAMPO GRANDE,JOSE ARCE,JOSE FLAVIO ARCE OLIVEIRA,ARCE,,
CAMPO GRANDE,MARCOS ALEX,MARCOS ALEX AZEVEDO MELO,ALEX PT,,
CAMPO GRANDE,ATHAYDE NERY,ATHAYDE NERY FREITAS JUNIOR,ATHAYDE,,
CAMPO GRANDE,ALEX,MARCOS ALEX AZEVEDO MELO,ALEX PT,,
CAMPO GRANDE,PEDRO PEDROSSIAN,PEDRO PEDROSSIAN FILHO,PEDROSSIAN FILHO,,
CAMPO GRANDE,ATHAYDE JUNIOR,ATHAYDE NERY FREITAS JUNIOR,ATHAYDE,,
CAMPO GRANDE,ROBERTO MATEUS,ROBERTO MATEUS OLIVEIRA GALVAO,PROFESSOR ROBERTO MATEUS,,
CAMPO GRANDE,JOAO ROCHA,JOAO BATISTA ROCHA,PROF JOAO ROCHA,,
CAMPO GRANDE,EDUARDO CURY,JOSE EDUARDO CURY,DR CURY,,
LUCAS DO RIO VERDE,LUIZ BINOTTI,FLORI LUIZ BINOTTI,BINOTTI,,
CORUMBÁ,ELANO HOLANDA,ELANO HOLANDA ALMEIDA,ELANO,,
CORUMBA,RUITER,RUITER CUNHA OLIVEIRA,RUITER CUNHA,,
CORUMBA,ELANO HOLANDA,ELANO HOLANDA ALMEIDA,ELANO,,
COXIM,ALUIZIO,ALUIZIO COMETKI SAO JOSE,ALUIZIO SAO JOSE,,
COXIM,UBIRAJARA,UBIRAJARA GONCALVES LIMA,PROF BIRA,,
CUIABÁ,JULIER SEBASTIAO,JULIER SEBASTIAO SILVA,JULIER,,
CUIABÁ,SERYS,SERYS MARLY SLHESSARENKO,SERYS SLHESSARENKO,,
CUIABA,JULIER SEBASTIAO,JULIER SEBASTIAO SILVA,JULIER,,
CUIABÁ,RENIVALDO,RENIVALDO ALVES NASCIMENTO,RENIVALDO NASCIMENTO,,
CUIABÁ,CELIO,CELIO ARNALDO SILVA,PROFESSOR CELIO,,
DOM AQUINO,ANALOURDES COUTINHO,ANALOURDES COUTINHO BEZERRA,ANALOURDES COUTINHO BEZERRA,,
DOURADOS,DELIA,DELIA GODOY RAZUK,DELIA RAZUK,,
DOURADOS,ENIO RIBEIRO,ENIO RIBEIRO OLIVEIRA,PROFESSOR ENIO,,
FÁTIMA DO SUL,JUNIOR VASCONCELOS,ERONIVALDO SILVA VASCONCELOS JUNIOR,JR VASCONCELOS,,
